DAY_OF_WEEK,HOUR,crashes
Friday,0,11016
Friday,1,5302
Friday,2,3955
Friday,3,3136
Friday,4,3659
Friday,5,4465
Friday,6,8226
Friday,7,11744
Friday,8,20682
Friday,9,19518
Friday,10,17343
Friday,11,18026
Friday,12,19505
Friday,13,20213
Friday,14,23912
Friday,15,23277
Friday,16,26107
Friday,17,25946
Friday,18,22419
Friday,19,18787
Friday,20,15794
Friday,21,13500
Friday,22,12669
Friday,23,11546
Monday,0,9894
Monday,1,4703
Monday,2,3406
Monday,3,2841
Monday,4,3420
Monday,5,4508
Monday,6,8322
Monday,7,12026
Monday,8,21355
Monday,9,19671
Monday,10,17386
Monday,11,17503
Monday,12,18043
Monday,13,18514
Monday,14,21280
Monday,15,20634
Monday,16,23799
Monday,17,23173
Monday,18,19621
Monday,19,15458
Monday,20,12464
Monday,21,10162
Monday,22,8689
Monday,23,7017
Saturday,0,13733
Saturday,1,8953
Saturday,2,7472
Saturday,3,6937
Saturday,4,7658
Saturday,5,6215
Saturday,6,5795
Saturday,7,5742
Saturday,8,9462
Saturday,9,11049
Saturday,10,12915
Saturday,11,14803
Saturday,12,16437
Saturday,13,17847
Saturday,14,19599
Saturday,15,17378
Saturday,16,20024
Saturday,17,18705
Saturday,18,17622
Saturday,19,15625
Saturday,20,14538
Saturday,21,13341
Saturday,22,13029
Saturday,23,11921
Sunday,0,14001
Sunday,1,9808
Sunday,2,8114
Sunday,3,7756
Sunday,4,8830
Sunday,5,6907
Sunday,6,5360
Sunday,7,4753
Sunday,8,7054
Sunday,9,8201
Sunday,10,10246
Sunday,11,12409
Sunday,12,13952
Sunday,13,15605
Sunday,14,18024
Sunday,15,16063
Sunday,16,18003
Sunday,17,16871
Sunday,18,15598
Sunday,19,13913
Sunday,20,12648
Sunday,21,11450
Sunday,22,10546
Sunday,23,8571
Thursday,0,9623
Thursday,1,4188
Thursday,2,3082
Thursday,3,2532
Thursday,4,2887
Thursday,5,3991
Thursday,6,7860
Thursday,7,11793
Thursday,8,21786
Thursday,9,20076
Thursday,10,17658
Thursday,11,17831
Thursday,12,18638
Thursday,13,19122
Thursday,14,22131
Thursday,15,21314
Thursday,16,24569
Thursday,17,24592
Thursday,18,21329
Thursday,19,17406
Thursday,20,14419
Thursday,21,12080
Thursday,22,10852
Thursday,23,8845
Tuesday,0,8629
Tuesday,1,3590
Tuesday,2,2509
Tuesday,3,2097
Tuesday,4,2298
Tuesday,5,3900
Tuesday,6,8107
Tuesday,7,12371
Tuesday,8,22350
Tuesday,9,21040
Tuesday,10,18373
Tuesday,11,18313
Tuesday,12,18676
Tuesday,13,19300
Tuesday,14,22075
Tuesday,15,21085
Tuesday,16,24557
Tuesday,17,24545
Tuesday,18,21170
Tuesday,19,16873
Tuesday,20,13396
Tuesday,21,10899
Tuesday,22,9538
Tuesday,23,7776
Wednesday,0,8910
Wednesday,1,3954
Wednesday,2,2731
Wednesday,3,2272
Wednesday,4,2569
Wednesday,5,3892
Wednesday,6,7883
Wednesday,7,12152
Wednesday,8,21539
Wednesday,9,19395
Wednesday,10,17239
Wednesday,11,17092
Wednesday,12,18210
Wednesday,13,18740
Wednesday,14,22364
Wednesday,15,21421
Wednesday,16,24326
Wednesday,17,24400
Wednesday,18,21737
Wednesday,19,17200
Wednesday,20,13492
Wednesday,21,11409
Wednesday,22,10081
Wednesday,23,7989
