YEAR,BOROUGH,crashes,injured,killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed
2012,BRONX,9511,2878.0,17.0,753,8,155,1,1970,8
2012,BROOKLYN,23305,7526.0,33.0,1836,19,879,2,4805,12
2012,MANHATTAN,20720,3868.0,21.0,1390,17,554,1,1924,3
2012,QUEENS,19138,5506.0,28.0,1172,15,402,2,3932,11
2012,STATEN ISLAND,4902,1245.0,11.0,201,3,27,0,1017,8
2013,BRONX,19768,6259.0,32.0,1672,25,295,1,4292,6
2013,BROOKLYN,47024,15413.0,67.0,3641,30,1539,4,10233,33
2013,MANHATTAN,41582,7585.0,39.0,2811,29,1131,2,3643,8
2013,QUEENS,39312,10688.0,71.0,2327,45,721,1,7640,25
2013,STATEN ISLAND,8295,2111.0,4.0,316,3,35,0,1760,1
2014,BRONX,19688,5886.0,19.0,1505,10,356,1,4025,8
2014,BROOKLYN,47761,14247.0,67.0,3349,42,1410,4,9487,21
2014,MANHATTAN,41270,6909.0,35.0,2586,25,1156,5,3167,5
2014,QUEENS,41023,10033.0,52.0,2192,26,714,6,7124,20
2014,STATEN ISLAND,6614,1577.0,10.0,230,5,39,0,1308,5
2015,BRONX,21258,5626.0,26.0,1372,11,363,3,3891,12
2015,BROOKLYN,50851,13710.0,67.0,3029,46,1514,4,9166,17
2015,MANHATTAN,42528,6532.0,22.0,2289,18,1192,1,3051,3
2015,QUEENS,42493,10427.0,51.0,2005,25,766,6,7656,20
2015,STATEN ISLAND,6344,1548.0,12.0,236,5,30,1,1282,6
2016,BRONX,21660,6050.0,19.0,1345,14,364,1,4298,5
2016,BROOKLYN,47464,13452.0,37.0,2917,20,1452,6,9036,7
2016,MANHATTAN,36077,6236.0,34.0,2076,30,1109,3,3083,0
2016,QUEENS,41396,10928.0,31.0,2080,19,691,1,8081,10
2016,STATEN ISLAND,6709,1484.0,9.0,232,3,46,1,1192,5
2017,BRONX,21397,5844.0,17.0,1354,10,325,1,4166,6
2017,BROOKLYN,44915,12047.0,40.0,2663,20,1300,7,8089,14
2017,MANHATTAN,31774,5648.0,33.0,1770,21,974,8,2908,4
2017,QUEENS,38627,10103.0,40.0,1923,23,703,4,7471,13
2017,STATEN ISLAND,6241,1550.0,8.0,240,4,49,0,1260,4
2018,BRONX,23060,6289.0,21.0,1444,10,356,1,4483,9
2018,BROOKLYN,47313,13198.0,39.0,2785,23,1368,2,9035,14
2018,MANHATTAN,31412,5435.0,20.0,1783,13,1005,2,2649,5
2018,QUEENS,41278,10818.0,53.0,2016,31,625,1,8183,21
2018,STATEN ISLAND,6171,1340.0,7.0,180,3,39,0,1121,4
2019,BRONX,22437,6529.0,11.0,1410,9,392,0,4727,2
2019,BROOKLYN,44479,13008.0,59.0,2700,33,1397,13,8911,13
2019,MANHATTAN,26593,5242.0,24.0,1565,20,1032,2,2644,2
2019,QUEENS,39865,11095.0,41.0,2034,26,721,5,8340,10
2019,STATEN ISLAND,3650,1403.0,4.0,219,2,40,1,1144,1
2020,BRONX,14306,5219.0,23.0,987,10,615,5,3617,8
2020,BROOKLYN,25473,9700.0,51.0,1781,17,1553,10,6366,24
2020,MANHATTAN,10855,3576.0,21.0,882,9,958,5,1736,7
2020,QUEENS,20667,7269.0,46.0,1287,20,857,1,5125,25
2020,STATEN ISLAND,2388,935.0,8.0,124,3,49,0,762,5
2021,BRONX,13389,5757.0,23.0,1134,5,413,3,3908,12
2021,BROOKLYN,25174,11676.0,54.0,1905,32,1373,2,7817,17
2021,MANHATTAN,11432,4632.0,26.0,1121,17,1022,3,2203,6
2021,QUEENS,19564,8452.0,34.0,1316,16,707,2,6021,16
2021,STATEN ISLAND,2665,1095.0,6.0,115,2,59,0,913,3
2022,BRONX,12285,5827.0,34.0,1192,13,409,4,3934,13
2022,BROOKLYN,23369,11512.0,48.0,2275,23,1427,4,7124,14
2022,MANHATTAN,11988,5132.0,24.0,1359,18,1173,2,2301,2
2022,QUEENS,18427,8517.0,31.0,1675,14,651,1,5715,15
2022,STATEN ISLAND,2718,1227.0,8.0,210,3,39,0,964,5
2023,BRONX,10507,5811.0,25.0,1115,7,395,3,4036,13
2023,BROOKLYN,22890,12376.0,49.0,2385,22,1493,9,7682,16
2023,MANHATTAN,11823,5613.0,28.0,1391,14,1252,6,2686,7
2023,QUEENS,17786,9518.0,46.0,1813,15,732,5,6532,23
2023,STATEN ISLAND,2724,1366.0,5.0,222,2,50,1,1072,2
2024,BRONX,10033,6026.0,33.0,1299,11,451,4,4064,17
2024,BROOKLYN,22785,13153.0,53.0,2645,31,1486,8,8411,12
2024,MANHATTAN,11903,5778.0,32.0,1639,22,1332,3,2584,6
2024,QUEENS,17813,9940.0,31.0,1988,16,788,4,6775,9
2024,STATEN ISLAND,2697,1303.0,11.0,235,6,70,0,976,5
2025,BRONX,10256,6034.0,20.0,1366,12,515,2,3918,6
2025,BROOKLYN,24303,13971.0,62.0,2835,39,1681,1,8980,20
2025,MANHATTAN,13229,6463.0,31.0,1799,19,1740,7,2698,4
2025,QUEENS,17950,9498.0,40.0,2055,22,943,7,6170,9
2025,STATEN ISLAND,2777,1406.0,5.0,236,4,58,0,1089,1
2026,BRONX,4271,2393.0,5.0,534,3,194,0,1576,1
2026,BROOKLYN,9114,4933.0,14.0,1016,9,477,2,3322,3
2026,MANHATTAN,4923,2325.0,6.0,672,4,540,5,1041,0
2026,QUEENS,6628,3256.0,12.0,776,10,274,1,2116,2
2026,STATEN ISLAND,1043,455.0,0.0,85,0,23,0,342,1
